year,aesthetic losses,economic losses,total losses
0,0.0,0.0,0.0
1,65688742.2291178,187866751.11155248,253555493.34067026
2,65132057.97293884,187054062.35953522,252186120.33247405
3,64297031.588670395,185616784.80153215,249913816.39020252
4,62905320.94822298,182960479.46791136,245865800.41613433
5,61420829.59841241,179426143.29531902,240846972.89373145
6,59750776.82987552,176254376.14514548,236005152.975021
7,58127114.41602021,173770033.9656769,231897148.38169712
8,55946767.745985925,169601237.052212,225548004.79819795
9,53395298.23849901,164697726.02052012,218093024.25901914
10,50890219.085693665,160543975.430437,211434194.51613066
11,48106797.80479884,154890144.8264701,202996942.63126895
12,44673911.558361895,147732715.38925916,192406626.94762105
13,41055463.89319863,140625555.07054687,181681018.96374547
14,36926722.326537974,132669009.09784408,169595731.42438206
15,33308274.661374707,126070045.38541503,159378320.04678974
16,29875388.41493776,119183446.55866873,149058834.9736065
17,25746646.848277107,110946581.73892629,136693228.5872034
18,22499322.02056648,105008547.0612192,127507869.08178568
19,18277799.744542666,96413770.72438827,114691570.46893093
20,14705742.434060978,90406587.85307588,105112330.28713685
21,12154272.926574057,86437805.1677418,98592078.09431586
22,9092509.517589753,81370288.73036847,90462798.24795823
23,6819382.138192315,77371986.8588621,84191368.99705441
24,4731816.177521198,73665194.61024685,78397010.78776805
25,3061763.4089843044,70783927.27038708,73845690.67937139
26,2087565.9606711166,68676036.76574813,70763602.72641924
27,1345320.2857658307,67271317.46282923,68616637.74859506
28,927807.0936316075,66714900.39523875,67642707.48887035
29,556684.2561789644,66308460.73783287,66865144.994011834
30,231951.77340790187,65732087.85325614,65964039.62666404
31,46390.35468158037,65313514.026706085,65359904.381387666
32,0.0,65278614.543641016,65278614.543641016
33,0.0,65278614.543641016,65278614.543641016
34,0.0,65278614.543641016,65278614.543641016
35,0.0,65278614.543641016,65278614.543641016
36,0.0,65278614.543641016,65278614.543641016
37,0.0,65278614.543641016,65278614.543641016
38,0.0,65278614.543641016,65278614.543641016
39,0.0,65278614.543641016,65278614.543641016
