year,net_benefit,under_prop,,
0,-36677.25265,0.33837619,-36677.25265,1
1,-118448211.3,0.356212685,-107680192.1,1.1
2,-116370876.9,0.358287737,-96174278.43,1.21
3,-110610366.1,0.361957561,-83103205.18,1.331
4,-108533755.2,0.36873995,-74130015.16,1.4641
5,-105498871.4,0.377764229,-65506498.81,1.61051
6,-101556216.1,0.385862755,-57325836.42,1.771561
7,-97667329.06,0.392206068,-50118782.79,1.9487171
8,-93651580.92,0.402850326,-43689153.67,2.14358881
9,-89670712.27,0.415370542,-38029135.51,2.357947691
10,-85235890.82,0.425976383,-32862125.73,2.59374246
11,-80473992.67,0.440412403,-28205643.5,2.853116706
12,-75960430.49,0.458687587,-24203334.08,3.138428377
13,-70673395.83,0.476834417,-20471565.37,3.452271214
14,-66256868.16,0.497149999,-17447504.2,3.797498336
15,-61965172.58,0.513999243,-14833969.65,4.177248169
16,-59011341.92,0.53158291,-12842587.34,4.594972986
17,-57524537.39,0.552614234,-11380923.05,5.054470285
18,-55362660.34,0.567775917,-9957461.096,5.559917313
19,-56161919.94,0.589721102,-9182922.69,6.115909045
20,-55660259.82,0.605059343,-8273542.957,6.727499949
npv,,0.605059343,-805455355,
